Report Status,Name,Description,Location,Modified Date,Permissions
Active,Active Workflow Tasks Report,This report summarises the Active tasks on Permit and Change applications.,RAPID > Reports Portlet > Standard Reports > Active Workflow Tasks Report,16/06/2016,RAPID Admins&#44; Finance&#44; Compliance
Active,Administrator Report,Used by RAPID admins to show annomalies in rapid to resolve and review,RAPID > Reports Portlet > Admin Reports > Administrator Report,21/05/2015,RAPID Admins&#44; Management&#44; Minerals Manager&#44; Minerals Geologist
Active,ASR inspections in submitted status,This report shows Annual Summary Report inspections that have a status of submitted based on the year of due date selected..,RAPID > Reports Portlet > Standard Reports > ASR inspections in submitted status,2/04/2015,RAPID Admins&#44; Minerals Permit Officer&#44; Management&#44; Minerals Manager&#44; Minerals Geologist&#44; Legal&#44; Minerals National Manager&#44; Compliance
In-active,AuditCandidateReport,,,,
Active,Change Applications,Shows permit information based on Status&#44; Commodity&#44; Permit Type&#44; Mineral Group&#44; Permit Tier&#44; Permit Onshore Offshore&#44; Change Type,<a href='https://permits.nzpam.govt.nz/aca/'>OPS > Quick Reports</a> ,26/08/2015,RAPID Users
Active,Change Applications Report,This report lists all the change applications. It is a version of 'ACA Search Report - App Change'. This report includes Submitted apps that ACA report doesn't.,RAPID > Reports Portlet > Standard Reports > Change Applications Report,7/12/2015,RAPID Admins&#44; Management&#44; Minerals Manager&#44; Finance&#44; Minerals National Manager
In-active,Consultation Records report,NOT IN USE,,,
Active,Contact Details Report,,RAPID > Reports Portlet > Standard Reports > Contact Details Report,18/02/2016,RAPID Admins&#44; Minerals Permit Officer&#44; Minerals Manager&#44; Minerals Registrar&#44; Minerals Geologist&#44; Finance&#44; Minerals National Manager&#44; Compliance
In-active,FailedReports,List of reports that have status not <> 'Success'  or have 0 byte count on the report server log.,,,
Active,FinancialCompliance_Contact,,,,
Active,FMIS Report,,,,
Active,Gold&#44;Silver& Ironsands production (from Royalties),This report is used for Minerals Mining stats by Business System team.,RAPID > Reports Portlet > Standard Reports > Gold&#44;Silver& Ironsands production (from Royalties),10/07/2015,RAPID Admins&#44; Minerals Geologist&#44; Finance&#44; Service Centre&#44; Compliance
Active,Incorrectly linked ASR inspections,This report is for user/RAPID administration purposes. It provides a list of ASR records (returns and inspections) that have been incorrectly linked or are in wrong statuses.,RAPID > Reports Portlet > Standard Reports > Incorrectly linked ASR inspections,22/08/2016,RAPID Users
Active,Late Royalty Inspection,Lists the late royalty inspections we need to chase?,RAPID > Reports Portlet > Standard Reports > Late Royalty Inspection,19/04/2017,RAPID Admins&#44; Minerals Permit Officer&#44; Minerals Manager&#44; Minerals Geologist&#44; Minerals National Manager&#44; Permits
